nohup: ignoring input
Query 1: s=1084755, t=4912229... Graph (reordered by Region): n=6789958, m=20190920, Regions=128, Queries=100
[Init] kernel_1(init residual/excess)=4.337 ms, kernel_7(preflow)=0.024 ms
Iteration 28: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 29: init_hl=0.033 ms, bfs=0.007 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 30: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 31: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.752 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 32: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 33: init_hl=0.032 ms, bfs=0.008 ms, push_relabel=0.069 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 34: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 35: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 36: init_hl=0.032 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 37: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 38: init_hl=0.032 ms, bfs=0.007 ms, push_relabel=0.073 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 39: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.766 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 40: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.072 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 41: init_hl=0.034 ms, bfs=0.007 ms, push_relabel=0.069 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 42: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 43: init_hl=0.034 ms, bfs=0.009 ms, push_relabel=0.Flow=1, Time=145 ms
Query 2: s=1841242, t=2841149... 073 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 44: init_hl=0.032 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 45: init_hl=0.034 ms, bfs=0.007 ms, push_relabel=0.068 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 46: init_hl=0.032 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 47: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.778 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 48: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.069 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 49: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 50: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 51: init_hl=0.034 ms, bfs=0.009 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 52: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 53: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 54: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 55: init_hl=0.034 ms, bfs=0.007 ms, push_relabel=0.759 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

